"","mid","sd","alpha","year"
"1",168.215122186294,7.93239665119861,213487.937916032,1995
"2",168.000481720902,6.69860420988086,192984.346863409,1997
"3",180.797268195219,7.33953386805708,101163.046670433,1998
"4",179.536760306779,5.78538282788092,175819.715263439,1999
"5",176.456012413594,6.2543358526793,50421.2406989061,2000
"6",177.568515637932,8.83757738376702,120243.168281858,2001
"7",173.819540705637,8.65166614215212,151255.0690429,2002
"8",168.515577700229,8.98017946834642,309410.240292537,2003
"9",173.681552388652,7.84306946110443,188354.148306274,2004
"10",172.025097080277,10.1178540930863,255636.885587837,2005
"11",177.958769542405,5.01183145541711,206626.055695074,2006
"12",175.979139910841,9.28076211739337,174505.746431258,2007
"13",180.835699472229,4.2797606136676,135027.725823824,2008
"14",178.721212599593,2.84536869438913,120218.427972209,2009
"15",177.221445982883,5.85871181666019,132900.218430932,2010
"16",174.302074632283,6.73033476517798,135826.586714305,2011
"17",178.020137224591,4.25215599163578,106376.328110714,2012
"18",176.863572682005,7.38530222252854,142616.905479356,2013
"19",169.477164106707,8.12723285342289,163448.719599194,2014
"20",175.588142221296,8.04058037704886,145319.812350583,2015
"21",171.124719148566,8.87753018292363,172717.67588102,2016
"22",171.845352868948,7.26419071328896,244964.257110028,2017
"23",176.264831086619,9.18065889057759,163219.95306964,2018
"24",177.613802536186,7.77834674837725,208743.141017331,2019
"25",178.504009963959,7.17047118834806,145243.988929529,2020
"26",178.853148862146,11.442256257404,125181.025874644,2021
"27",178.754845754004,6.68748370882601,43184.4538128541,2022
